,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
268,pisco,90,PE,1569858046,30,-13.71,-76.2,71.6,8.05
269,mys shmidta,100,RU,1569858181,94,62.06,48.62,43.43,9.28
270,cairns,3,AU,1569857893,83,-16.92,145.77,71.6,1.12
271,caravelas,66,BR,1569858181,82,-17.73,-39.27,75.29,10.85
272,tabuk,100,PH,1569858181,97,17.41,121.44,64.13,1.19
273,canoinhas,64,BR,1569858182,56,-26.18,-50.4,71.69,5.12
274,tasiilaq,40,GL,1569858182,70,65.61,-37.64,42.8,5.82
275,tezu,100,IN,1569858182,94,27.93,96.16,68.63,0.92
276,ponta do sol,40,BR,1569858182,46,-0.53,-65.05,94.19,3.13
277,katsuura,75,JP,1569858183,83,33.93,134.5,77.0,3.36
278,kuandian,0,CN,1569858183,94,40.73,124.78,58.55,1.74
279,bella union,20,IT,1569858183,57,40.76,15.54,78.8,12.75
280,yeppoon,2,AU,1569858184,88,-23.13,150.74,69.8,1.14
281,qingdao,0,CN,1569858184,83,36.09,120.35,69.8,6.71
282,salina,1,US,1569858127,65,38.84,-97.61,84.0,17.22
283,santa isabel do rio negro,100,PH,1569858184,73,17.49,120.43,83.39,8.55
284,port augusta,90,CD,1569858185,59,-7.04,29.76,75.65,3.76
285,pimenta bueno,4,BR,1569858185,43,-20.48,-45.8,80.15,6.87
286,palmas,20,BR,1569858185,65,-10.18,-48.33,82.4,6.93
287,kachiry,50,KZ,1569858186,59,53.07,76.1,36.77,4.83
288,naron,75,ES,1569858186,64,43.52,-8.15,75.2,18.34
289,marzuq,63,YE,1569858186,49,14.4,46.47,79.07,8.5
290,jalu,68,LY,1569857916,26,29.03,21.55,91.13,13.58
291,lovozero,100,RU,1569858186,97,68.01,35.02,41.63,9.55
292,thomaston,1,US,1569858187,42,32.89,-84.33,90.0,3.36
293,aden,58,YE,1569858187,61,12.79,45.03,88.25,13.18
294,najran,20,SA,1569858187,27,17.54,44.22,87.8,4.7
295,itaituba,40,BR,1569858188,52,-4.26,-55.99,93.2,6.93
296,morro bay,73,EC,1569858188,76,-2.63,-80.33,78.01,4.0
297,santa maria,100,PH,1569858188,73,17.49,120.43,83.39,8.55
298,fatehpur,0,PK,1569858188,38,31.18,71.21,89.87,7.56
299,camacupa,23,AO,1569858189,13,-12.02,17.48,87.71,6.49
300,souillac,90,FR,1569858189,60,45.6,-0.6,73.4,3.36
301,honningsvag,75,NO,1569858189,86,70.98,25.97,41.0,14.99
302,port lincoln,90,CD,1569858119,59,-7.04,29.76,75.65,3.76
303,vestmannaeyjar,40,IS,1569858190,81,63.44,-20.27,48.2,6.93
304,torma,89,EE,1569858190,87,58.82,26.74,55.4,5.82
305,pitimbu,75,BR,1569858190,58,-7.47,-34.81,84.2,13.87
306,bloomfield,1,US,1569858191,78,40.75,-92.42,80.6,14.99
307,tocopilla,0,CL,1569858191,83,-22.09,-70.2,57.83,11.34
308,pacsa,0,HU,1569858191,44,46.72,17.01,80.6,5.82
309,constitucion,90,MX,1569858191,77,23.99,-104.67,64.99,6.93
310,dengzhou,35,CN,1569858192,40,32.69,112.08,75.83,4.92
311,simao,100,CN,1569858192,93,22.76,100.79,64.49,0.98
312,marystown,48,CA,1569858192,58,47.17,-55.16,49.01,17.31
313,port hueneme,90,CD,1569858192,59,-7.04,29.76,75.65,3.76
314,kuytun,100,RU,1569858193,76,54.34,101.51,35.69,6.2
315,limoges,90,FR,1569858193,72,45.84,1.26,66.99,9.17
316,nizhniy tsasuchey,20,RU,1569858193,68,45.39,39.24,66.0,6.71
317,kaspiysk,0,RU,1569858194,82,42.88,47.64,64.4,11.18
318,taltal,35,CL,1569858194,69,-25.41,-70.49,58.19,7.23
319,myitkyina,100,MM,1569858194,90,25.38,97.4,70.43,2.93
320,manisa,0,TR,1569858195,36,38.62,27.43,84.2,9.17
321,mola di bari,100,CN,1569858195,99,27.62,98.74,49.19,1.92
322,chernyshevsk,68,RU,1569858195,78,52.51,117.01,46.13,4.0
323,banda aceh,72,IN,1569858195,81,28.24,80.11,76.37,4.59
324,mangaratiba,90,BR,1569857933,61,-22.96,-44.04,77.0,6.93
325,saurimo,40,AO,1569858196,48,-9.66,20.4,86.0,5.82
326,chimore,22,BO,1569858196,31,-16.98,-65.13,93.65,5.3
327,kadoma,62,JP,1569858196,88,34.73,135.6,80.01,1.12
328,atbasar,0,KZ,1569858197,65,51.81,68.36,37.85,1.16
329,salalah,40,OM,1569858197,74,17.01,54.1,82.4,9.17
330,santa barbara,100,PH,1569858184,73,17.49,120.43,83.39,8.55
331,jiaonan,0,CN,1569858197,83,35.88,119.98,69.8,6.71
332,tirumullaivasal,50,IN,1569858198,76,11.24,79.84,78.71,2.98
333,beira,75,ES,1569858198,64,43.2,-8.36,75.2,18.34
334,hamilton,75,CA,1569857911,82,43.26,-79.87,63.0,12.75
335,oktyabrskoye,75,RU,1569858199,93,56.73,85.44,39.0,8.95
336,challapata,0,BO,1569858199,55,-18.9,-66.78,50.45,11.9
337,quata,0,BR,1569858199,18,-22.25,-50.7,90.05,9.42
338,chongwe,76,ZM,1569858199,11,-15.33,28.68,91.4,11.41
339,biloela,0,AU,1569858200,36,-24.4,150.51,58.91,4.54
340,ambrolauri,0,GE,1569858200,68,42.52,43.15,71.6,1.12
341,ust-maya,100,RU,1569858200,98,60.42,134.54,30.65,4.14
342,bongor,36,TD,1569858200,57,10.28,15.37,86.27,0.92
343,kodinar,99,IN,1569858201,92,20.79,70.7,77.45,7.78
344,mount isa,20,GB,1569858201,76,53.66,-1.85,60.01,3.36
345,marienburg,40,DE,1569858201,63,52.12,9.98,62.6,20.8
346,pandharpur,100,IN,1569858201,69,17.68,75.33,79.79,12.37
347,ambulu,92,ID,1569858202,85,-8.35,113.61,74.39,9.78
348,jinchang,0,CN,1569858202,26,38.52,102.19,63.95,2.53
349,rusape,0,ZW,1569858202,10,-18.53,32.12,85.19,5.08
350,plettenberg bay,75,DE,1569858203,87,51.21,7.87,64.0,5.82
351,morant bay,20,JM,1569858203,66,17.9,-76.43,87.8,13.87
352,hervey bay,20,US,1569858203,74,33.5,-93.78,84.0,11.41
353,cayenne,20,GF,1569858204,59,4.94,-52.33,89.6,12.75
354,aksu,0,KZ,1569858204,80,52.04,76.93,33.8,4.47
355,benguela,68,AO,1569858204,82,-12.58,13.4,73.49,13.51
356,vanimo,24,PG,1569858204,69,-2.67,141.3,83.03,3.0
357,faya,40,SA,1569858205,68,18.39,42.45,78.8,6.93
358,ossora,100,RU,1569858205,78,59.24,163.07,38.75,4.74
359,mehriz,20,IR,1569858205,11,31.58,54.44,91.4,4.7
360,mecca,96,SA,1569858205,53,21.43,39.83,90.95,7.43
361,prince rupert,90,CA,1569858206,94,52.97,-108.38,34.0,12.75
362,puro,100,PH,1569858206,82,13.13,123.76,79.97,1.19
363,tromso,75,NO,1569858206,70,69.65,18.96,42.8,23.04
364,iskateley,99,RU,1569858207,87,67.68,53.15,42.17,11.63
365,margate,3,AU,1569858207,75,-43.03,147.26,42.8,6.93
366,havre-saint-pierre,1,CA,1569858207,39,50.23,-63.6,50.0,11.41
367,mount gambier,20,GB,1569858207,76,53.66,-1.85,60.01,3.36
368,talnakh,75,RU,1569858208,100,69.49,88.39,30.2,6.71
369,houston,40,US,1569857718,70,29.76,-95.37,89.01,3.36
370,gobabis,0,NA,1569858208,13,-22.45,18.97,75.2,6.93
371,rawson,0,AR,1569858208,20,-43.3,-65.11,55.13,25.05
372,solnechnyy,100,RU,1569858209,78,50.72,136.64,46.85,3.47
373,alofi,90,NU,1569858209,94,-19.06,-169.92,73.4,5.82
374,kamaishi,0,JP,1569858209,86,39.28,141.86,53.15,2.26
375,kodiak,20,US,1569858210,65,39.95,-94.76,81.0,17.22
376,mount darwin,20,GB,1569858210,76,53.66,-1.85,60.01,3.36
377,mutsu,20,JP,1569858210,93,41.29,141.2,64.4,5.82
378,whyalla,0,AU,1569858210,81,-33.04,137.58,53.6,3.36
379,puri,85,ID,1569858211,71,-7.54,112.45,73.31,9.98
380,tual,1,ID,1569858211,88,-5.67,132.75,79.43,14.7
381,torbay,75,CA,1569858211,65,47.66,-52.73,48.99,25.28
382,husavik,100,CA,1569858211,96,50.56,-96.99,42.01,23.62
383,tilichiki,100,RU,1569858212,98,60.47,166.1,40.73,8.43
384,berezovyy,100,RU,1569858212,72,51.67,135.7,42.71,4.23
385,alugan,100,PH,1569858212,93,12.22,125.48,77.45,4.25
386,dubbo,0,AU,1569858213,62,-32.25,148.6,57.2,14.99
387,lukovetskiy,90,RU,1569858213,100,64.29,41.92,46.4,4.47
388,beringovskiy,39,RU,1569858213,81,63.05,179.32,33.35,5.73
389,ucluelet,5,CA,1569858213,93,48.94,-125.55,37.4,6.24
390,misratah,0,LY,1569858214,64,32.38,15.09,77.63,12.26
391,zyryanka,92,RU,1569858214,86,65.73,150.89,23.45,14.81
392,andros town,0,GR,1569858214,57,37.83,24.93,80.6,5.82
393,bundaberg,46,AU,1569858215,94,-24.87,152.35,70.0,6.93
394,nyagan,100,RU,1569858215,77,62.14,65.43,39.11,7.0
395,mastic beach,75,US,1569858215,63,40.8,-72.84,68.0,8.05
396,praia da vitoria,75,BR,1569858216,51,-20.25,-43.81,82.4,5.82
397,ugoofaaru,100,MV,1569858216,71,5.67,73.0,81.95,4.45
398,yaan,57,NG,1569858216,79,7.38,8.57,82.67,4.38
399,nazca,61,PE,1569858217,44,-14.83,-74.94,75.29,7.45
400,zambezi,73,ZM,1569858217,30,-13.55,23.12,86.99,10.83
401,udine,40,IT,1569858217,78,46.06,13.24,79.0,8.05
402,maumere,13,ID,1569858217,66,-8.63,122.22,74.75,5.95
403,mehamn,40,NO,1569858218,86,71.03,27.85,41.0,18.34
404,araouane,0,ML,1569858218,6,18.9,-3.53,107.87,15.3
405,south lake tahoe,75,US,1569858218,55,37.33,-86.36,93.0,4.7
406,bayangol,89,MN,1569858218,69,48.91,106.09,50.81,22.68
407,kerema,99,PG,1569858219,89,-7.96,145.78,78.35,14.76
408,kefalos,0,GR,1569858219,61,36.75,26.96,78.8,8.05
409,muzhi,100,RU,1569858219,88,65.4,64.7,38.57,2.48
410,pontes e lacerda,54,BR,1569858220,42,-7.27,-48.27,94.73,2.77
411,kirkwall,20,GB,1569858220,70,58.98,-2.96,50.0,13.87
412,batsfjord,75,NO,1569858220,86,70.63,29.72,41.0,17.22
413,tawang,100,BT,1569858221,98,27.59,91.87,52.61,1.21
414,axim,31,GH,1569858221,82,4.87,-2.24,79.97,13.4
415,moussoro,100,TD,1569858221,31,13.64,16.49,96.17,11.48
416,castelo do piaui,59,BR,1569858222,69,-20.6,-41.2,72.77,5.75
417,washougal,1,US,1569858222,61,45.58,-122.35,48.2,5.82
418,mamallapuram,20,IN,1569858222,79,12.63,80.17,84.2,5.82
419,grindavik,20,IS,1569858223,71,63.84,-22.43,50.0,2.24
420,jiangyou,100,CN,1569858223,93,31.78,104.73,60.35,0.45
421,malazgirt,0,TR,1569858223,22,39.15,42.54,68.0,9.17
422,ilhabela,0,BR,1569858223,80,-23.78,-45.36,71.33,16.75
423,niksic,20,ME,1569858224,61,42.77,18.95,77.0,4.7
424,ayolas,0,PY,1569858224,31,-27.39,-56.84,92.39,14.63
425,nisia floresta,0,GR,1569858224,26,39.39,21.64,91.4,4.7
426,santa cruz cabralia,100,PH,1569858184,73,17.49,120.43,83.39,8.55
427,revelstoke,90,CA,1569858225,80,50.99,-118.19,41.0,1.83
428,leeton,0,AU,1569858225,75,-34.55,146.4,51.8,5.82
429,hambantota,20,LK,1569858225,100,6.12,81.12,78.8,2.24
430,makat,85,KZ,1569858225,34,47.65,53.35,60.53,8.25
431,ostrovnoy,100,RU,1569858225,90,68.05,39.51,43.25,5.46
432,sam roi yot,81,SN,1569858226,36,13.86,-15.95,97.07,5.23
433,bonfim,40,GY,1569858226,54,3.36,-59.84,89.87,13.02
434,corralillo,53,CU,1569858226,80,22.98,-80.59,81.95,17.47
435,buenaventura,100,CO,1569858226,85,3.89,-77.07,78.17,10.45
436,kandiari,0,PK,1569858226,31,26.92,68.52,95.63,13.58
437,shunyi,0,CN,1569858227,77,40.13,116.65,82.0,4.47
438,mocuba,12,MZ,1569858227,21,-16.84,36.99,95.09,2.06
439,richards bay,75,US,1569858227,93,46.84,-95.91,59.0,9.17
440,kontagora,100,NG,1569858227,82,10.4,5.47,76.91,1.72
441,atchison,20,US,1569858228,65,39.56,-95.12,82.0,17.22
442,pangnirtung,90,CA,1569858228,93,66.15,-65.72,41.0,9.17
443,cabedelo,75,BR,1569858228,58,-6.97,-34.84,84.2,13.87
444,geraldton,90,CA,1569858228,93,49.72,-86.95,39.2,11.41
445,san ramon de la nueva oran,24,ML,1569858229,25,13.3,-4.9,99.95,8.81
446,harfleur,90,FR,1569858229,68,49.51,0.2,66.99,10.29
447,presidente medici,0,BR,1569858229,45,-29.95,-50.11,86.45,2.84
448,hit,0,IQ,1569858229,21,33.64,42.83,85.73,4.36
449,paamiut,100,GL,1569858229,67,61.99,-49.67,41.99,3.74
450,maragogi,69,BR,1569858230,58,-9.01,-35.22,83.03,8.9
451,paita,0,PE,1569858230,290,-5.09,-81.11,62.6,19.46
452,baykit,63,RU,1569858230,83,61.68,96.39,24.53,1.07
453,buraydah,40,SA,1569858231,22,26.33,43.97,100.4,8.05
454,privas,0,FR,1569858231,36,44.74,4.6,82.4,11.41
455,luangwa,100,MZ,1569858231,9,-15.62,30.4,99.23,6.8
456,eureka,20,US,1569857978,93,40.8,-124.16,48.99,4.7
457,brae,20,GB,1569858232,66,60.4,-1.35,48.2,17.22
458,chicama,90,PE,1569858232,88,-7.84,-79.15,62.6,8.05
459,kantunilkin,40,MX,1569858232,70,21.1,-87.49,86.0,10.29
460,trapani,20,IT,1569858232,83,38.02,12.54,80.01,9.17
461,gari,100,RU,1569858233,80,59.43,62.35,37.49,6.46
462,gat,0,SN,1569858233,55,14.69,-16.54,96.8,5.82
463,yar-sale,100,RU,1569858233,98,66.83,70.83,36.05,11.39
464,kasempa,100,ZM,1569858233,11,-13.46,25.83,91.31,6.24
465,gravelbourg,100,CA,1569858234,100,49.88,-106.56,33.35,6.6
466,waingapu,0,ID,1569858234,68,-9.65,120.26,72.05,5.88
467,namatanai,100,PG,1569858234,80,-3.66,152.44,78.17,6.98
468,quthing,4,LS,1569858235,48,-30.4,27.7,52.43,11.61
469,korocha,0,RU,1569858235,59,50.81,37.2,64.4,8.95
470,touros,75,BR,1569858142,62,-5.2,-35.46,84.2,19.46
471,sibolga,100,ID,1569858235,79,1.74,98.78,81.41,10.38
472,paracatu,0,BR,1569858190,26,-17.22,-46.87,90.77,6.17
473,nome,40,US,1569858236,79,30.04,-94.42,88.0,8.05
474,chervone,100,UA,1569858236,60,51.1,34.1,63.41,15.35
475,kaspiyskiy,33,RU,1569858236,48,45.39,47.37,64.31,3.02
476,sechura,75,PE,1569858237,89,-5.56,-80.82,64.85,6.91
477,bintulu,75,MY,1569858237,100,3.17,113.03,77.0,4.7
478,belmonte,0,PT,1569858237,60,40.36,-7.35,82.0,8.99
479,urdoma,100,RU,1569858237,94,61.74,48.55,43.43,9.28
480,sistranda,75,NO,1569858238,86,63.73,8.83,42.01,12.75
481,pundaguitan,85,PH,1569858238,73,6.37,126.17,81.95,5.06
482,baculin,96,PH,1569858238,86,7.45,126.58,72.23,3.98
483,eyl,0,SO,1569858239,73,7.98,49.82,76.91,11.18
484,socorro,1,US,1569857999,61,31.65,-106.3,79.0,9.17
485,paka,84,CF,1569858239,62,4.15,15.03,81.41,2.64
486,comodoro rivadavia,76,BR,1569858239,43,-13.66,-59.79,89.15,4.56
487,yanam,96,IN,1569858240,83,16.73,82.22,82.4,4.7
488,arman,0,RU,1569858240,75,59.7,150.17,21.47,7.92
489,laguna,40,BZ,1569858240,74,16.17,-88.94,84.2,4.7
490,vaghodia,75,IN,1569858241,94,22.3,73.38,77.0,13.87
491,mutoko,48,ZW,1569858241,10,-17.4,32.23,89.15,6.53
492,karratha,0,AU,1569858241,36,-20.74,116.85,72.05,11.79
493,hirado,100,JP,1569858241,94,33.32,129.49,73.4,2.24
494,jackson,75,US,1569858242,92,43.48,-110.76,32.0,3.36
495,pearland,40,US,1569858242,70,29.56,-95.29,89.01,3.36
496,tandil,100,AR,1569858243,90,-37.33,-59.14,57.99,4.0
497,lorengau,28,PG,1569858243,78,-2.02,147.27,78.71,1.41
498,katobu,37,ID,1569858243,85,-4.94,122.53,74.03,5.48
499,creemore,40,CA,1569858243,62,44.33,-80.11,60.01,9.17
500,tuy hoa,40,PH,1569858244,83,14.02,120.73,82.4,3.36
501,bathsheba,75,BB,1569858244,70,13.22,-59.52,86.0,13.87
502,loutra,1,GR,1569858244,75,35.35,24.59,82.4,4.7
503,khani,0,GE,1569858245,68,41.96,42.96,71.6,1.12
504,luderitz,0,NA,1569858245,46,-26.65,15.16,71.6,28.86
505,niculitel,0,RO,1569858245,30,45.18,28.48,80.6,9.17
506,raudeberg,40,NO,1569858246,70,61.99,5.14,46.4,27.51
507,sisimiut,6,GL,1569858246,78,66.94,-53.67,40.55,1.59
508,arawa,99,ID,1569858246,75,-3.93,119.75,79.25,18.86
509,jian,98,IN,1569858247,96,25.65,87.89,73.13,7.85
510,guangyuan,99,CN,1569858247,81,32.43,105.86,65.57,0.72
511,ushtobe,54,KZ,1569858247,55,45.25,77.98,50.63,10.0
512,onda,0,ES,1569858247,61,39.96,-0.26,82.99,9.17
513,fort-shevchenko,88,KZ,1569858248,76,44.51,50.26,63.41,11.32
514,liverpool,40,GB,1569858062,87,53.41,-2.98,59.0,8.05
515,minna,40,NG,1569858248,62,9.62,6.55,87.8,6.93
516,krasnoarmeysk,90,RU,1569858248,87,56.12,38.15,57.2,13.42
517,clarksburg,90,US,1569858249,94,39.24,-77.28,70.0,8.77
518,amahai,1,ID,1569858249,87,-3.31,129.0,76.91,6.2
519,accra,0,GH,1569858249,69,5.56,-0.21,80.6,4.7
520,lazaro cardenas,75,MX,1569858249,69,29.05,-111.04,78.01,9.24
521,mata grande,0,PT,1569858249,60,40.68,-7.46,82.0,8.99
522,flin flon,0,FR,1569858250,64,48.5,6.66,69.8,5.82
523,tigil,98,RU,1569858250,81,57.8,158.67,40.91,20.36
524,moron,62,HT,1569858251,66,18.56,-74.26,84.65,4.52
525,kichera,100,RU,1569858251,96,55.93,110.1,36.59,3.8
526,izmit,0,TR,1569858251,50,40.76,29.93,80.6,3.36
527,cockburn harbour,0,AU,1569858176,40,-32.08,141.0,51.8,5.82
528,neustadt,40,CH,1569858252,68,47.05,8.31,69.8,6.93
529,chitral,45,PK,1569858252,54,35.85,71.79,41.99,10.09
530,morehead,20,US,1569858252,61,38.18,-83.43,86.0,4.41
531,noumea,90,NC,1569858253,88,-22.28,166.46,75.99,1.12
532,owando,73,CG,1569858253,68,-0.49,15.91,79.07,6.29
533,hami,100,CN,1569858253,35,42.84,93.51,66.65,30.13
534,sarahan,15,IN,1569858253,89,31.51,77.79,53.15,1.57
535,krasnogvardeyets,0,RU,1569858254,60,46.16,39.17,66.11,7.92
536,tumaco,100,CO,1569858087,83,1.8,-78.82,78.71,16.89
